AppName,TCID,STATUS,EXEDATE,ENV|CODE|DATA|REQ
OnePlan,1,Fail,1/1/2016,"PROD2.0|import plotly|The plotly.plotly module is deprecated,|importing"
OnePlan,2,Fail,1/2/2016,STG2.0|for x in range(10)|List out of index [15]|looping
OnePlan,3,Fail,1/3/2016,PROD2.0|Not compatible with IOS 13|Update not found|Updating
OnePlan,4,Pass,1/4/2016,
OnePlan,5,Pass,1/5/2016,
OnePlan,6,Fail,1/6/2016,"DEV2.0|print(""a[10]"")|No varible named a|retrive data"
OnePlan,7,Pass,1/7/2016,
OnePlan,8,Pass,1/8/2016,
OnePlan,9,Pass,1/9/2016,
OnePlan,10,Pass,1/10/2016,
OnePlan,11,Fail,1/11/2016,"PROD2.0|data.replace(data.Name, 'NA')|Not replacing all values in Name column|manipulating data"
OnePlan,12,Fail,1/12/2016,STG2.0|import matplotlib.pyplot as plt|matplotlib: Package not found|importing
OnePlan,13,Fail,1/13/2016,PROD2.0|import numpy as np|numpy: Package not found|importing
OnePlan,14,Pass,1/14/2016,
OnePlan,15,Fail,1/15/2016,UAT2.0|import pandasa as pd|pandas: Package not found|importing
OnePlan,16,Pass,1/16/2016,
OnePlan,17,Fail,1/17/2016,UAT2.0|import pandasa as pd|pandasa: Package not found|importing
OnePlan,18,Pass,1/18/2016,
OnePlan,19,Pass,1/19/2016,
OnePlan,20,Pass,1/20/2016,
OnePlan,21,Pass,1/21/2016,
OnePlan,22,Pass,1/22/2016,
OnePlan,23,Fail,1/23/2016,"STG2.0|print(data[""Weight""].std())|column doesnot exist|standard variations"
OnePlan,24,Fail,1/24/2016,UAT2.0|form.submit(name[0])|Array index out of bounds|Need to specify name
OnePlan,25,Pass,1/25/2016,
OnePlan,26,Fail,1/26/2016,DEV2.0|plt.show()|displaying graph without plotting it|plotting
OnePlan,27,Fail,1/27/2016,STG2.0|for i in Age|list index out of range|looping
OnePlan,28,Pass,1/28/2016,
OnePlan,29,Pass,1/29/2016,
OnePlan,30,Pass,1/30/2016,
OnePlan,31,Fail,1/31/2016,STG2.0|for i in Age|list index out of range|looping
OnePlan,32,Pass,2/1/2016,
OnePlan,33,Fail,2/2/2016,PROD2.0|Not compatible with IOS 13|Update not found|Updating
OnePlan,34,Pass,2/3/2016,
OnePlan,35,Fail,2/4/2016,"STG2.0|for i,j in range()|range expected 1 arguments|parsing"
OnePlan,36,Pass,2/5/2016,
OnePlan,37,Pass,2/6/2016,
OnePlan,38,Fail,2/7/2016,DEV2.0|print(df.columns)|df: undefined dataframe|retrive data
OnePlan,39,Pass,2/8/2016,
OnePlan,40,Pass,2/9/2016,
OnePlan,41,Fail,2/10/2016,PROD2.0|import seaborn as sns|seaborn: Package not found|Coloring
OnePlan,42,Fail,2/11/2016,DEV2.0|plt.show()|plt:undefined name|displaying
OnePlan,43,Pass,2/12/2016,
OnePlan,44,Pass,2/13/2016,
OnePlan,45,Fail,2/14/2016,"PROD2.0|import plotly|The plotly.plotly module is deprecated,|importing"
OnePlan,46,Fail,2/15/2016,STG2.0|for x in range(10)|List out of index [15]|looping
OnePlan,47,Pass,2/16/2016,
OnePlan,48,Pass,2/17/2016,
OnePlan,49,Pass,2/18/2016,
OnePlan,50,Fail,2/19/2016,"STG2.0|for i in range(0,2)|List out of Index [23]|looping"
OnePlan,51,Fail,2/20/2016,"DEV2.0|print(""sum is"",a+b)|No varibles named a and b|retrive data"
OnePlan,52,Pass,2/21/2016,
OnePlan,53,Pass,2/22/2016,
OnePlan,54,Pass,2/23/2016,
OnePlan,55,Fail,2/24/2016,STG2.0| if i>5 |SyntaxError: invalid syntax |decision control
OnePlan,56,Fail,2/25/2016,UAT2.0|import pandasa as pd|pandas: Package not found|importing
OnePlan,57,Pass,2/26/2016,
OnePlan,58,Pass,2/27/2016,
OnePlan,59,Fail,2/28/2016,"DEV2.0|print(""sum is"",a+b)|No varibles named a and b|retrive data"
OnePlan,60,Fail,2/29/2016,"STG2.0|print(data[""Weight""].std())|column doesnot exist|standard variations"
