EXEDATE,STATUS,WeekDay,Special,Day Weight
1/1/2019,,Tuesday,New Year,
1/2/2019,,Wednesday,,
1/3/2019,,Thursday,,
1/4/2019,,Friday,,
1/5/2019,,Saturday,,
1/6/2019,,Sunday,,
1/7/2019,,Monday,,
1/8/2019,,Tuesday,,
1/9/2019,,Wednesday,,
1/10/2019,,Thursday,,
1/11/2019,,Friday,,
1/12/2019,,Saturday,,
1/13/2019,,Sunday,,
1/14/2019,,Monday,,
1/15/2019,,Tuesday,,
1/16/2019,,Wednesday,,
1/17/2019,,Thursday,,
1/18/2019,,Friday,,
1/19/2019,,Saturday,,
1/20/2019,,Sunday,,
1/21/2019,,Monday,,
1/22/2019,,Tuesday,,
1/23/2019,,Wednesday,,
1/24/2019,,Thursday,,
1/25/2019,,Friday,,
1/26/2019,,Saturday,,
1/27/2019,,Sunday,,
1/28/2019,,Monday,,
1/29/2019,,Tuesday,,
1/30/2019,,Wednesday,,
1/31/2019,,Thursday,,
2/1/2019,,Friday,,
2/2/2019,,Saturday,,
2/3/2019,,Sunday,,
2/4/2019,,Monday,,
2/5/2019,,Tuesday,,
2/6/2019,,Wednesday,,
2/7/2019,,Thursday,,
2/8/2019,,Friday,,
2/9/2019,,Saturday,,
2/10/2019,,Sunday,,
2/11/2019,,Monday,,
2/12/2019,,Tuesday,,
2/13/2019,,Wednesday,,
2/14/2019,,Thursday,,
2/15/2019,,Friday,,
2/16/2019,,Saturday,,
2/17/2019,,Sunday,,
2/18/2019,,Monday,,
2/19/2019,,Tuesday,,
2/20/2019,,Wednesday,,
2/21/2019,,Thursday,,
2/22/2019,,Friday,,
2/23/2019,,Saturday,,
2/24/2019,,Sunday,,
2/25/2019,,Monday,,
2/26/2019,,Tuesday,,
2/27/2019,,Wednesday,,
2/28/2019,,Thursday,,
3/1/2019,,Friday,,
3/2/2019,,Saturday,,
3/3/2019,,Sunday,,
3/4/2019,,Monday,,
3/5/2019,,Tuesday,,
3/6/2019,,Wednesday,,
3/7/2019,,Thursday,,
3/8/2019,,Friday,,
3/9/2019,,Saturday,,
3/10/2019,,Sunday,,
3/11/2019,,Monday,,
3/12/2019,,Tuesday,,
3/13/2019,,Wednesday,,
3/14/2019,,Thursday,,
3/15/2019,,Friday,,
3/16/2019,,Saturday,,
3/17/2019,,Sunday,,
3/18/2019,,Monday,,
3/19/2019,,Tuesday,,
3/20/2019,,Wednesday,,
3/21/2019,,Thursday,,
3/22/2019,,Friday,,
3/23/2019,,Saturday,,
3/24/2019,,Sunday,,
3/25/2019,,Monday,,
3/26/2019,,Tuesday,,
3/27/2019,,Wednesday,,
3/28/2019,,Thursday,,
3/29/2019,,Friday,,
3/30/2019,,Saturday,,
3/31/2019,,Sunday,,
4/1/2019,,Monday,,
4/2/2019,,Tuesday,,
4/3/2019,,Wednesday,,
4/4/2019,,Thursday,,
4/5/2019,,Friday,,
4/6/2019,,Saturday,,
4/7/2019,,Sunday,,
4/8/2019,,Monday,,
4/9/2019,,Tuesday,,
4/10/2019,,Wednesday,,
4/11/2019,,Thursday,,
4/12/2019,,Friday,,
4/13/2019,,Saturday,,
4/14/2019,,Sunday,,
4/15/2019,,Monday,,
4/16/2019,,Tuesday,,
4/17/2019,,Wednesday,,
4/18/2019,,Thursday,,
4/19/2019,,Friday,,
4/20/2019,,Saturday,,
4/21/2019,,Sunday,,
4/22/2019,,Monday,,
4/23/2019,,Tuesday,,
4/24/2019,,Wednesday,,
4/25/2019,,Thursday,,
4/26/2019,,Friday,,
4/27/2019,,Saturday,,
4/28/2019,,Sunday,,
4/29/2019,,Monday,,
4/30/2019,,Tuesday,,
5/1/2019,,Wednesday,,
5/2/2019,,Thursday,,
5/3/2019,,Friday,,
5/4/2019,,Saturday,,
5/5/2019,,Sunday,,
5/6/2019,,Monday,,
